timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710712274432,58,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/d46862ef-da3a-4135-827b-d0bf227178a2.json-109,200,OK,ThreadSafeAI 1-3,text,true,,1402,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/d46862ef-da3a-4135-827b-d0bf227178a2.json?id=d46862ef-da3a-4135-827b-d0bf227178a2,58,0,0
1710712274490,48,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/8c98cfa1-139b-4e19-92b4-187f441a66b9.json-110,200,OK,ThreadSafeAI 1-3,text,true,,1402,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/8c98cfa1-139b-4e19-92b4-187f441a66b9.json?id=8c98cfa1-139b-4e19-92b4-187f441a66b9,48,0,0
1710712274538,1,Debug Sampler,200,OK,ThreadSafeAI 1-3,text,true,,283,0,1,1,null,0,0,0
1710712274672,162,/login/-89,200,OK,ThreadSafeAI 1-4,text,true,,3170,467,1,1,https://chatgptgw-super-admin.web.app/login/,162,0,108
1710712274835,52,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/2b3d8b74-e48a-4730-bb3a-eac7ae07d50f.json-98,200,OK,ThreadSafeAI 1-4,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/2b3d8b74-e48a-4730-bb3a-eac7ae07d50f.json?id=2b3d8b74-e48a-4730-bb3a-eac7ae07d50f,52,0,0
1710712274888,50,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/9c16999e-3a08-41a4-a62c-fed4994f9355.json-99,200,OK,ThreadSafeAI 1-4,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/9c16999e-3a08-41a4-a62c-fed4994f9355.json?id=9c16999e-3a08-41a4-a62c-fed4994f9355,50,0,0
1710712274938,51,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/75c9f001-3696-4462-8f7c-956c4cec3f8d.json-100,200,OK,ThreadSafeAI 1-4,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/75c9f001-3696-4462-8f7c-956c4cec3f8d.json?id=75c9f001-3696-4462-8f7c-956c4cec3f8d,51,0,0
1710712274990,50,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/d64eab39-4186-45a2-b438-963bfbfbfce1.json-102,200,OK,ThreadSafeAI 1-4,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/d64eab39-4186-45a2-b438-963bfbfbfce1.json?id=d64eab39-4186-45a2-b438-963bfbfbfce1,50,0,0
1710712275040,50,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/0e268280-f639-4859-b0b3-b8404fe38deb.json-101,200,OK,ThreadSafeAI 1-4,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/0e268280-f639-4859-b0b3-b8404fe38deb.json?id=0e268280-f639-4859-b0b3-b8404fe38deb,50,0,0
1710712275091,54,/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/370674c8-c6cd-42d2-b6a2-1fe9dceffaf6.json-103,200,OK,ThreadSafeAI 1-4,text,true,,1400,559,1,1,https://chatgptgw-super-admin.web.app/_next/data/MF_pWor52HdlWPgiMxgdl/apps/corp/edit/370674c8-c6cd-42d2-b6a2-1fe9dceffaf6.json?id=370674c8-c6cd-42d2-b6a2-1fe9dceffaf6,53,0,0
